"experiment_id"	"Harvest.Date"	"Run"	"Plate"	"Column"	"Row"	"species"	"normalized_OD"	"qpcr_4plex_Cy5.356."	"qpcr_3plex_TR.360."	"qpcr_3plex_FAM.361."	"qpcr_4plex_FAM.492."	"qpcr_3plex_HEX.500."	"qpcr_4plex_TR.502."	"qpcr_4plex_HEX.519."	"nmr_row"	"nmr_column"	"nmr_rack"	"nmr_position"
"133B"	"1/10/2017"	"1"	3	3	"B"	"356,500"	0.178466668	4.876999988	NA	1.90813e-05	NA	0.018277806	6.02961e-06	NA	"A"	12	2	"2A12"
"144B"	"1/10/2017"	"1"	4	4	"B"	"360,500"	0.00986666	2.54724e-07	1.074903235	1.85644e-05	NA	0.047670403	NA	NA	"B"	1	2	"2B1"
"413B"	"12/16/2016"	"4"	1	3	"B"	"519"	0.177241661	NA	NA	NA	NA	NA	NA	NA	"B"	2	2	"2B2"
"122B"	"1/10/2017"	"1"	2	2	"B"	"502"	0.023266664	NA	NA	NA	NA	NA	0.530260688	3.68648e-05	"B"	3	2	"2B3"
"112B"	"1/10/2017"	"1"	1	2	"B"	"360"	0.013466662	4.01806e-05	1.385617583	NA	NA	NA	NA	0.000111893	"B"	4	2	"2B4"
"362A"	"1/12/2017"	"3"	6	2	"A"	"361,519"	0.107191661	1.94744e-07	NA	1.929168017	NA	NA	1.97615e-05	45.33293103	"B"	5	2	"2B5"
"353A"	"1/12/2017"	"3"	5	3	"A"	"361,492"	0.023391673	2.83361e-07	NA	2.280989391	0.011914028	NA	NA	0.000237106	"B"	6	2	"2B6"
"334A"	"1/12/2017"	"3"	3	4	"A"	"356,502"	0.164191673	6.947012089	NA	NA	NA	NA	0.014582245	NA	"B"	7	2	"2B7"
"164B"	"1/10/2017"	"1"	6	4	"B"	"492,502"	0.097366666	NA	NA	NA	3.945397422	0.000132065	0.102434817	NA	"B"	8	2	"2B8"
"414A"	"12/16/2016"	"4"	1	4	"A"	"356,361"	0.020341672	NA	NA	NA	NA	NA	NA	NA	"B"	9	2	"2B9"
"123B"	"1/10/2017"	"1"	2	3	"B"	"519"	0.231966665	7.44823e-05	NA	9.31143e-06	NA	2.10701e-05	1.52404e-05	67.95050074	"B"	10	2	"2B10"
"361A"	"1/12/2017"	"3"	6	1	"A"	"361,502"	0.016091669	1.04292e-07	NA	0.650631701	NA	NA	0.009997868	0.000362586	"B"	11	2	"2B11"
"321A"	"1/12/2017"	"3"	2	1	"A"	"500"	0.007791663	4.37924e-05	NA	NA	NA	0.428223692	NA	NA	"B"	12	2	"2B12"
"362B"	"1/12/2017"	"3"	6	2	"B"	"361,519"	0.112791667	NA	NA	2.387509101	NA	NA	NA	35.06476535	"C"	1	2	"2C1"
"214B"	"1/11/2017"	"2"	1	4	"B"	"492"	0.05895834	4.89413e-05	NA	NA	21.68047363	NA	NA	NA	"C"	2	2	"2C2"
"223B"	"1/11/2017"	"2"	2	3	"B"	"519"	0.262458342	NA	NA	NA	NA	2.05866e-05	NA	57.21836701	"C"	3	2	"2C3"
"232B"	"1/11/2017"	"2"	3	2	"B"	"356,492"	0.179358322	2.253095279	NA	NA	0.159564719	NA	NA	NA	"C"	4	2	"2C4"
"233B"	"1/11/2017"	"2"	3	3	"B"	"356,500"	0.181858319	1.470911192	0.00033342	NA	NA	0.051282297	NA	NA	"C"	5	2	"2C5"
"343B"	"1/12/2017"	"3"	4	3	"B"	"360,492"	0.042191664	NA	0.861508423	NA	0.638927595	NA	NA	NA	"C"	6	2	"2C6"
"311B"	"1/12/2017"	"3"	1	1	"B"	"356"	0.18519167	7.657332886	9.92876e-06	NA	1.555e-05	NA	NA	1.76807e-05	"C"	7	2	"2C7"
"321B"	"1/12/2017"	"3"	2	1	"B"	"500"	0.003891664	5.74059e-05	NA	NA	NA	0.037175602	NA	NA	"C"	8	2	"2C8"
"333B"	"1/12/2017"	"3"	3	3	"B"	"356,500"	0.175291667	5.975587773	NA	NA	NA	0.135610137	NA	NA	"C"	9	2	"2C9"
"272B"	"1/11/2017"	"2"	7	2	"B"	"500,502"	0.035358328	NA	NA	NA	NA	4.892241958	0.010564943	4.16132e-05	"C"	10	2	"2C10"
"244B"	"1/11/2017"	"2"	4	4	"B"	"360,500"	0.015458334	0	0.951631583	NA	NA	1.117842326	NA	2.8509e-05	"C"	11	2	"2C11"
"322B"	"1/12/2017"	"3"	2	2	"B"	"502"	0.003691668	NA	NA	NA	NA	NA	0.009340507	NA	"C"	12	2	"2C12"
